record_type,model_id,baseline_model,resize,mode,metric,n,mean,sample_sd,complete,seed,epoch,value
paired_efficiency_ratio,mn_l4,deit_s8,160,infer_generic,params_ratio,8,1.039193155000372,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,160,infer_fast,throughput_ratio,8,0.3809979537467221,0.043641703349414224,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,160,infer_fast,step_time_ratio,8,2.6606454423118553,0.3610309957935772,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,160,infer_fast,peak_allocated_ratio,8,1.7670663204109989,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,160,infer_fast,peak_reserved_ratio,8,2.238709677419355,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,160,infer_fast,params_ratio,8,1.0414787297769765,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,160,infer_fast,throughput_ratio,8,0.47437419890063753,0.05690018865304945,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,160,infer_fast,step_time_ratio,8,2.1392615846156877,0.2993100083174543,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,160,infer_fast,peak_allocated_ratio,8,1.6136211784821315,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,160,infer_fast,peak_reserved_ratio,8,2.1161290322580646,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,160,infer_fast,params_ratio,8,1.039193155000372,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,train,throughput_ratio,8,0.5047136484250196,0.030372815845043536,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,train,step_time_ratio,8,1.9880173993122638,0.12727136356667523,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,train,peak_allocated_ratio,8,1.156130974485985,0.0003749302168101931,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,train,peak_reserved_ratio,8,1.3005434782608696,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,train,params_ratio,8,1.0444738289973137,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,train,throughput_ratio,8,0.6494707287674513,0.05937681160360177,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,train,step_time_ratio,8,1.5518932363049205,0.15269443085396217,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,train,peak_allocated_ratio,8,0.8228233872117865,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,train,peak_reserved_ratio,8,0.9929347826086956,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,train,params_ratio,8,1.04219539597483,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_generic,throughput_ratio,8,0.4808566901704856,0.04619603870598725,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_generic,step_time_ratio,8,2.1005115732544515,0.24884074541589873,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_generic,peak_allocated_ratio,8,1.975903442975277,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_generic,peak_reserved_ratio,8,2.287671232876712,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_generic,params_ratio,8,1.0444738289973137,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_generic,throughput_ratio,8,0.6018578347202976,0.13003576580771348,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_generic,step_time_ratio,8,1.7609241291760651,0.5316627978843355,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_generic,peak_allocated_ratio,8,1.8125519991615437,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_generic,peak_reserved_ratio,8,2.1598173515981736,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_generic,params_ratio,8,1.04219539597483,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_fast,throughput_ratio,8,0.4950561674599089,0.06463455483884854,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_fast,step_time_ratio,8,2.05580141862517,0.314054156126029,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_fast,peak_allocated_ratio,8,1.9025540564845138,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_fast,peak_reserved_ratio,8,2.2922374429223744,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,192,infer_fast,params_ratio,8,1.0444738289973137,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_fast,throughput_ratio,8,0.6158985784606142,0.11879073898730895,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_fast,step_time_ratio,8,1.6923146697090083,0.41024267859332475,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_fast,peak_allocated_ratio,8,1.7392026126707805,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_fast,peak_reserved_ratio,8,2.1598173515981736,0.0,True,,,
paired_efficiency_ratio,mn_l4,deit_s8,192,infer_fast,params_ratio,8,1.04219539597483,0.0,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,train,throughput_ratio,8,0.6122675613116508,0.03196503385139505,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,train,step_time_ratio,8,1.6374238731980528,0.09096184549289241,True,,,
paired_efficiency_ratio,mn_l2,deit_s8,224,train,peak_allocated_ratio,8,1.1478177243709053,0.0,True,,,
